Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,124,0.01,0.01,-9.37571361503138
75% Corpus,124,0.01,0.31,-11.169258409182639
75% Corpus,124,0.01,0.61,-11.115219425323065
75% Corpus,124,0.01,0.9099999999999999,-9.087861448745045
75% Corpus,124,0.01,symmetric,-9.509902502328755
75% Corpus,124,0.31,0.01,-8.497425102976493
75% Corpus,124,0.31,0.31,-8.334870030993462
75% Corpus,124,0.31,0.61,-7.463601531182418
75% Corpus,124,0.31,0.9099999999999999,-7.164232381596937
75% Corpus,124,0.31,symmetric,-8.462927124675144
75% Corpus,124,0.61,0.01,-4.86894534452467
75% Corpus,124,0.61,0.31,-2.361779717207141
75% Corpus,124,0.61,0.61,-2.2487495385604643
75% Corpus,124,0.61,0.9099999999999999,-2.2480651597680597
75% Corpus,124,0.61,symmetric,-4.793962888368271
75% Corpus,124,0.9099999999999999,0.01,-5.935502918058182
75% Corpus,124,0.9099999999999999,0.31,-2.291610566882254
75% Corpus,124,0.9099999999999999,0.61,-2.2511903293319535
75% Corpus,124,0.9099999999999999,0.9099999999999999,-2.2522818606155006
75% Corpus,124,0.9099999999999999,symmetric,-5.814800223435921
75% Corpus,124,symmetric,0.01,-9.660350185462308
75% Corpus,124,symmetric,0.31,-11.421166315703049
75% Corpus,124,symmetric,0.61,-11.114110011012082
75% Corpus,124,symmetric,0.9099999999999999,-9.723556361164949
75% Corpus,124,symmetric,symmetric,-9.440499910315225
75% Corpus,124,asymmetric,0.01,-9.037436143056345
75% Corpus,124,asymmetric,0.31,-10.53758627244911
75% Corpus,124,asymmetric,0.61,-8.946146992345637
75% Corpus,124,asymmetric,0.9099999999999999,-8.023126333326028
75% Corpus,124,asymmetric,symmetric,-9.06553563792623
100% Corpus,124,0.01,0.01,-9.593256399422023
100% Corpus,124,0.01,0.31,-11.202309446081737
100% Corpus,124,0.01,0.61,-11.070447639244513
100% Corpus,124,0.01,0.9099999999999999,-9.370322047819142
100% Corpus,124,0.01,symmetric,-9.500476287866446
100% Corpus,124,0.31,0.01,-8.509642967406739
100% Corpus,124,0.31,0.31,-8.15477057044762
100% Corpus,124,0.31,0.61,-7.633768328314412
100% Corpus,124,0.31,0.9099999999999999,-7.906561931004735
100% Corpus,124,0.31,symmetric,-8.445272601619441
100% Corpus,124,0.61,0.01,-4.848620760776742
100% Corpus,124,0.61,0.31,-2.3816240676821603
100% Corpus,124,0.61,0.61,-2.24545435575012
100% Corpus,124,0.61,0.9099999999999999,-2.2511247222683406
100% Corpus,124,0.61,symmetric,-4.876328397753565
100% Corpus,124,0.9099999999999999,0.01,-5.878336235132909
100% Corpus,124,0.9099999999999999,0.31,-2.2875397936646884
100% Corpus,124,0.9099999999999999,0.61,-2.2513691629030865
100% Corpus,124,0.9099999999999999,0.9099999999999999,-2.2524104350071057
100% Corpus,124,0.9099999999999999,symmetric,-5.818328393865083
100% Corpus,124,symmetric,0.01,-9.52788848592299
100% Corpus,124,symmetric,0.31,-11.424681979349486
100% Corpus,124,symmetric,0.61,-11.161039669372498
100% Corpus,124,symmetric,0.9099999999999999,-9.640846258955696
100% Corpus,124,symmetric,symmetric,-9.468057578046565
100% Corpus,124,asymmetric,0.01,-9.05152707125016
100% Corpus,124,asymmetric,0.31,-10.54093311582133
100% Corpus,124,asymmetric,0.61,-8.935252487928688
100% Corpus,124,asymmetric,0.9099999999999999,-7.9957083158308
100% Corpus,124,asymmetric,symmetric,-9.101732357326773
